2016-11-13 10:09:08,017 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicApp:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicApp\pom.xml.
2016-11-13 10:09:11,851 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-11-13 10:09:11,853 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:11,853 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicBillingServiceClient\src\test\resources
2016-11-13 10:09:11,984 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicBillingWebApp:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicBillingWebApp\pom.xml.
2016-11-13 10:09:12,285 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/faces/javax.faces-api/2.2/javax.faces-api-2.2.pom
2016-11-13 10:09:12,359 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/faces/javax.faces-api/2.2/javax.faces-api-2.2.pom
2016-11-13 10:09:12,400 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/3.1.0/javax.servlet-api-3.1.0.pom
2016-11-13 10:09:12,435 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/3.1.0/javax.servlet-api-3.1.0.pom
2016-11-13 10:09:12,492 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/faces/javax.faces-api/2.2/javax.faces-api-2.2.jar
2016-11-13 10:09:12,749 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/faces/javax.faces-api/2.2/javax.faces-api-2.2.jar
2016-11-13 10:09:12,782 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/3.1.0/javax.servlet-api-3.1.0.jar
2016-11-13 10:09:12,824 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/3.1.0/javax.servlet-api-3.1.0.jar
2016-11-13 10:09:13,879 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:13,880 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-11-13 10:09:13,884 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:13,884 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicBillingWebApp\src\test\resources
2016-11-13 10:09:14,983 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicApp:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicApp\pom.xml.
2016-11-13 10:09:15,004 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicDTOs:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:15,029 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicSoapWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 10:09:15,031 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRepresentations:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:15,035 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRestWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 10:09:15,037 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicService:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:15,039 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicServiceClient:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:15,560 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicBillingService:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicBillingService\pom.xml.
2016-11-13 10:09:15,601 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicBillingServiceClient:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicBillingServiceClient\pom.xml.
2016-11-13 10:09:15,638 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicBillingWebApp:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicBillingWebApp\pom.xml.
2016-11-13 10:09:15,685 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicResearchService:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicResearchService\pom.xml.
2016-11-13 10:09:15,717 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicResearchServiceClient:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicResearchServiceClient\pom.xml.
2016-11-13 10:09:15,747 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicResearchWebApp:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicResearchWebApp\pom.xml.
2016-11-13 10:09:15,755 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicRoot:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicRoot\pom.xml.
2016-11-13 10:09:16,740 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicDTOs:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:16,768 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicSoapWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 10:09:16,770 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRepresentations:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:16,773 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRestWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 10:09:16,775 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicService:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:16,777 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicServiceClient:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:25,785 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:25,790 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-11-13 10:09:25,800 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:25,801 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicBillingServiceClient\src\test\resources
2016-11-13 10:09:26,127 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:26,129 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-11-13 10:09:26,134 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:26,135 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicBillingService\src\test\resources
2016-11-13 10:09:26,239 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:26,240 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-11-13 10:09:26,243 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:26,243 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicBillingWebApp\src\test\resources
2016-11-13 10:09:26,295 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicDTOs:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,312 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicSoapWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,314 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRepresentations:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,316 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRestWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,318 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicService:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,319 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicServiceClient:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,429 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicDTOs:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,445 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicSoapWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,447 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRepresentations:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,448 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRestWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,450 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicService:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,452 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicServiceClient:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:26,475 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:26,476 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicApp\src\main\resources
2016-11-13 10:09:26,626 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:26,626 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-11-13 10:09:26,628 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:26,629 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicResearchServiceClient\src\test\resources
2016-11-13 10:09:26,779 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:26,780 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-11-13 10:09:26,786 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:26,786 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicResearchService\src\test\resources
2016-11-13 10:09:26,893 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:26,893 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-11-13 10:09:26,896 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:26,896 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicResearchWebApp\src\test\resources
2016-11-13 12:01:13,009 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicDomain:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicDomain\pom.xml.
2016-11-13 12:01:13,109 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicBillingServiceClient:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicBillingServiceClient\pom.xml.
2016-11-13 12:01:13,184 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicBillingWebApp:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicBillingWebApp\pom.xml.
2016-11-13 12:01:13,246 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicApp:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicApp\pom.xml.
2016-11-13 12:01:13,248 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicDTOs:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:13,254 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicSoapWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 12:01:13,256 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRepresentations:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:13,258 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRestWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 12:01:13,260 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicService:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:13,262 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicServiceClient:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:13,356 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicResearchServiceClient:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicResearchServiceClient\pom.xml.
2016-11-13 12:01:13,433 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicResearchService:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicResearchService\pom.xml.
2016-11-13 12:01:13,472 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicResearchWebApp:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicResearchWebApp\pom.xml.
2016-11-13 12:01:13,522 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicBillingService:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicBillingService\pom.xml.
2016-11-13 12:01:13,775 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicDTOs:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:13,789 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicSoapWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 12:01:13,791 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRepresentations:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:13,792 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRestWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 12:01:13,794 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicService:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:13,795 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicServiceClient:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:14,502 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 12:01:14,503 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-13 12:01:14,506 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 12:01:14,506 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicDomain\src\test\resources
2016-11-13 12:01:15,768 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 12:01:15,770 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-13 12:01:15,774 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 12:01:15,774 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicDomain\src\test\resources
2016-11-13 12:01:15,993 [Worker-59] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicDTOs:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicDTOs\pom.xml.
2016-11-13 12:01:16,054 [Worker-59] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicApp:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicApp\pom.xml.
2016-11-13 12:01:16,080 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicSoapWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 12:01:16,083 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRepresentations:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:16,086 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRestWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 12:01:16,088 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicService:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:16,091 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicServiceClient:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:16,223 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicSoapWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 12:01:16,225 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRepresentations:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:16,229 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRestWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 12:01:16,231 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicService:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:16,233 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicServiceClient:jar:1.0.0 is missing, no dependency information available
2016-11-13 12:01:16,818 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.xml.bind:jaxb-impl:jar:2.2.11 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
